id,organization_id,user_id,type,amount,description,category,occurred_at,created_at,updated_at,funded_by_type,funded_by_user_id,updated_by_user_id
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_business,1064.00,Sunlu black and white refills,Filament,2025-12-04 00:00:00+00,2026-01-07 05:42:17.907942+00,2026-01-07 05:42:17.907942+00,business,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_business,277.00,NFC TAG 100pcs,Materials,2025-12-06 00:00:00+00,2026-01-07 05:39:37.207471+00,2026-01-07 05:39:37.207471+00,business,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_business,1800.00,500 sweldo; 1k car 300 gas,Pop up,2025-12-07 00:00:00+00,2026-01-07 05:35:06.684712+00,2026-01-07 05:35:06.684712+00,business,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,636.00,PLA Red SUNLU,Materials,2025-12-01 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,2400.00,Rent ni jabez,Rent,2025-11-11 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,1038.00,Sunlu PLA green & sunny orange,Materials,2025-11-11 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,492.00,Kingroon PLA white,Materials,2025-11-11 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_business,1500.00,Rent:Wkndr,Events,2025-11-19 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,business,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,551.00,Sunlu PLA Klein Blue,Materials,2025-11-15 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_business,500.00,Salary,Events,2025-09-27 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,business,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,153.00,Keychain 200pcs,Materials,2025-09-19 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
,501dd159-4343-4f3d-80f9-373f3430438d,138cd3f3-392d-4e17-978a-b3df1ec630dc,expense_personal,237.00,Dry Box 1pc for filament,Materials,2025-09-18 00:00:00+00,2026-01-07 00:00:00+00,2026-01-07 00:00:00+00,personal,138cd3f3-392d-4e17-978a-b3df1ec630dc,138cd3f3-392d-4e17-978a-b3df1ec630dc
